enrollment_id,student_id,course_id,lecturer_id,enrollment_date,semester,enrollment_status
ENR11271,211854,COM1009,LEC1009,21/03/2021,Semester 1,Dropped
ENR11272,211855,LAW1004,LEC1054,07/07/2021,Semester 2,Dropped
ENR11274,211856,COM1003,LEC1010,06/07/2021,Semester 2,Completed
ENR11275,211857,SOC1003,LEC1137,04/12/2021,Semester 2,Dropped
ENR11277,211858,AGR1009,LEC1110,15/06/2021,Semester 1,Dropped
ENR11278,211859,MED1005,LEC1017,25/09/2021,Semester 2,Completed
ENR11280,211860,BUS1006,LEC1032,06/09/2021,Semester 2,Completed
ENR11281,211861,COM1005,LEC1010,25/11/2021,Semester 2,Dropped
ENR11282,211862,ENG1008,LEC1100,26/12/2021,Semester 2,Completed
ENR11284,211863,BUS1007,LEC1041,09/09/2021,Semester 2,Completed
ENR11285,211864,ARC1002,LEC1121,04/07/2021,Semester 2,Dropped
ENR11287,211865,ENG1008,LEC1091,06/02/2021,Semester 1,Completed
ENR11289,211866,SOC1003,LEC1139,30/09/2021,Semester 2,Dropped
ENR11290,211867,BUS1005,LEC1039,03/12/2021,Semester 2,Completed
ENR11291,211868,AGR1002,LEC1117,13/10/2021,Semester 2,Dropped
ENR11292,211869,SOC1009,LEC1146,23/10/2021,Semester 2,Completed
ENR11293,211870,ARC1010,LEC1131,07/08/2021,Semester 2,Completed
ENR11295,211871,ARC1005,LEC1123,01/10/2021,Semester 2,Dropped
ENR11297,211872,SCI1003,LEC1088,21/11/2021,Semester 2,Dropped
ENR11299,211873,ART1009,LEC1073,09/10/2021,Semester 2,Completed
ENR11300,211874,SCI1008,LEC1083,23/07/2021,Semester 2,Completed
ENR11302,211875,LAW1009,LEC1046,03/06/2021,Semester 1,Completed
ENR11303,211876,ART1001,LEC1061,20/12/2021,Semester 2,Completed
ENR11304,211877,MED1003,LEC1016,24/08/2021,Semester 2,Completed
ENR11305,211878,MED1008,LEC1020,07/07/2021,Semester 2,Completed
ENR11306,211879,LAW1003,LEC1058,03/06/2021,Semester 1,Completed
ENR11307,211880,AGR1003,LEC1120,22/04/2021,Semester 1,Completed
ENR11309,211881,ARC1009,LEC1132,23/10/2021,Semester 2,Completed
ENR11311,211882,MED1001,LEC1028,29/01/2021,Semester 1,Completed
ENR11313,211883,SOC1009,LEC1139,01/12/2021,Semester 2,Completed
ENR11314,211884,COM1007,LEC1005,26/09/2021,Semester 2,Completed
ENR11316,211885,ENG1005,LEC1102,24/04/2021,Semester 1,Completed
ENR11318,211886,BUS1009,LEC1037,29/05/2021,Semester 1,Dropped
ENR11319,211887,MED1007,LEC1021,12/02/2021,Semester 1,Dropped
ENR11320,211888,AGR1001,LEC1112,15/05/2021,Semester 1,Completed
ENR11321,211889,ENG1005,LEC1097,24/12/2021,Semester 2,Completed
ENR11323,211890,SCI1001,LEC1086,20/10/2021,Semester 2,Completed
ENR11325,211891,COM1010,LEC1005,09/08/2021,Semester 2,Completed
ENR11326,211892,MED1005,LEC1026,31/07/2021,Semester 2,Dropped
ENR11327,211893,ART1005,LEC1064,14/06/2021,Semester 1,Completed
ENR11329,211894,ART1005,LEC1070,15/08/2021,Semester 2,Completed
ENR11330,211895,COM1006,LEC1015,30/04/2021,Semester 1,Completed
ENR11332,211896,SOC1005,LEC1136,05/05/2021,Semester 1,Completed
ENR11333,211897,COM1002,LEC1006,22/12/2021,Semester 2,Completed
ENR11335,211898,BUS1007,LEC1042,03/10/2021,Semester 2,Completed
ENR11337,211899,AGR1010,LEC1117,14/03/2021,Semester 1,Completed
ENR11339,211900,BUS1002,LEC1031,26/05/2021,Semester 1,Completed
ENR11341,211901,ARC1004,LEC1121,04/02/2021,Semester 1,Dropped
ENR11343,211902,COM1003,LEC1005,29/11/2021,Semester 2,Dropped
ENR11344,211903,ART1009,LEC1069,30/12/2021,Semester 2,Completed
ENR11345,211904,ENG1003,LEC1104,02/11/2021,Semester 2,Completed
ENR11347,211905,COM1006,LEC1004,29/09/2021,Semester 2,Completed
ENR11348,211906,ENG1003,LEC1097,22/03/2021,Semester 1,Completed
ENR11350,211907,LAW1001,LEC1054,22/05/2021,Semester 1,Completed
ENR11352,211908,BUS1009,LEC1033,24/06/2021,Semester 1,Dropped
ENR11354,211909,SCI1004,LEC1079,21/10/2021,Semester 2,Completed
ENR11355,211910,LAW1010,LEC1060,06/11/2021,Semester 2,Completed
ENR11357,211911,AGR1005,LEC1114,17/12/2021,Semester 2,Completed
ENR11358,211912,LAW1010,LEC1057,28/12/2021,Semester 2,Completed
ENR11359,211913,SOC1009,LEC1138,02/12/2021,Semester 2,Completed
ENR11361,211914,ART1001,LEC1074,16/03/2021,Semester 1,Completed
ENR11362,211915,SCI1003,LEC1082,05/06/2021,Semester 1,Dropped
ENR11364,211916,SOC1010,LEC1139,24/02/2021,Semester 1,Completed
ENR11365,211917,COM1004,LEC1013,10/11/2021,Semester 2,Completed
ENR11366,211918,AGR1007,LEC1109,29/04/2021,Semester 1,Completed
ENR11367,211919,MED1001,LEC1027,02/09/2021,Semester 2,Completed
ENR11369,211920,BUS1004,LEC1044,18/07/2021,Semester 2,Dropped
ENR11371,211921,COM1005,LEC1007,08/01/2021,Semester 1,Completed
ENR11372,211922,BUS1009,LEC1042,10/12/2021,Semester 2,Completed
ENR11374,211923,AGR1009,LEC1113,19/12/2021,Semester 2,Completed
ENR11376,211924,SOC1010,LEC1136,08/11/2021,Semester 2,Dropped
ENR11378,211925,SCI1008,LEC1083,22/01/2021,Semester 1,Completed
ENR11379,211926,SOC1005,LEC1136,13/10/2021,Semester 2,Dropped
ENR11381,211927,LAW1008,LEC1053,23/07/2021,Semester 2,Completed
ENR11382,211928,SCI1010,LEC1078,05/08/2021,Semester 2,Completed
ENR11384,211929,ARC1003,LEC1128,16/02/2021,Semester 1,Completed
ENR11386,211930,SCI1003,LEC1081,19/08/2021,Semester 2,Completed
ENR11388,211931,MED1002,LEC1020,15/06/2021,Semester 1,Completed
ENR11390,211932,SOC1001,LEC1143,21/11/2021,Semester 2,Completed
ENR11391,211933,ENG1008,LEC1102,16/07/2021,Semester 2,Completed
ENR11392,211934,AGR1001,LEC1112,23/01/2021,Semester 1,Completed
ENR11394,211935,MED1009,LEC1018,31/12/2021,Semester 2,Completed
ENR11395,211936,LAW1010,LEC1050,17/08/2021,Semester 2,Completed
ENR11397,211937,COM1001,LEC1010,10/05/2021,Semester 1,Completed
ENR11398,211938,ENG1004,LEC1104,13/09/2021,Semester 2,Completed
ENR11400,211939,AGR1006,LEC1116,01/09/2021,Semester 2,Dropped
ENR11401,211940,SCI1007,LEC1077,04/11/2021,Semester 2,Completed
ENR11403,211941,COM1007,LEC1003,17/03/2021,Semester 1,Completed
ENR11404,211942,COM1005,LEC1003,17/01/2021,Semester 1,Completed
ENR11406,211943,SCI1004,LEC1078,24/03/2021,Semester 1,Completed
ENR11407,211944,SCI1009,LEC1087,24/10/2021,Semester 2,Completed
ENR11408,211945,MED1002,LEC1028,03/06/2021,Semester 1,Completed
ENR11409,211946,ART1009,LEC1074,04/02/2021,Semester 1,Dropped
ENR11411,211947,MED1006,LEC1027,21/05/2021,Semester 1,Completed
ENR11412,211948,ENG1008,LEC1094,23/12/2021,Semester 2,Completed
ENR11414,211949,SOC1003,LEC1147,06/11/2021,Semester 2,Completed
ENR11416,211950,MED1007,LEC1025,16/10/2021,Semester 2,Dropped
ENR11418,211951,BUS1004,LEC1045,09/11/2021,Semester 2,Completed
ENR11420,211952,COM1004,LEC1008,17/11/2021,Semester 2,Completed
ENR11421,211953,AGR1009,LEC1112,31/07/2021,Semester 2,Completed
ENR11422,211954,ART1005,LEC1069,23/11/2021,Semester 2,Completed
ENR11424,211955,COM1009,LEC1005,03/06/2021,Semester 1,Completed
ENR11426,211956,SCI1001,LEC1087,19/10/2021,Semester 2,Completed
ENR11428,211957,ENG1001,LEC1103,19/01/2021,Semester 1,Completed
ENR11430,211958,SCI1010,LEC1088,31/07/2021,Semester 2,Completed
ENR11432,211959,BUS1007,LEC1040,17/12/2021,Semester 2,Completed
ENR11433,211960,COM1009,LEC1003,24/05/2021,Semester 1,Completed
ENR11435,211961,BUS1004,LEC1040,01/03/2021,Semester 1,Completed
ENR11437,211962,SCI1003,LEC1077,12/09/2021,Semester 2,Completed
ENR11439,211963,BUS1003,LEC1032,11/07/2021,Semester 2,Completed
ENR11441,211964,ENG1002,LEC1105,14/09/2021,Semester 2,Completed
ENR11442,211965,ART1004,LEC1075,05/09/2021,Semester 2,Completed
ENR11443,211966,MED1009,LEC1028,20/02/2021,Semester 1,Completed
ENR11445,211967,SOC1002,LEC1149,25/09/2021,Semester 2,Completed
ENR11447,211968,SCI1010,LEC1090,24/01/2021,Semester 1,Completed
ENR11449,211969,AGR1004,LEC1118,09/06/2021,Semester 1,Completed
ENR11450,211970,BUS1006,LEC1034,27/05/2021,Semester 1,Completed
ENR11452,211971,MED1010,LEC1018,21/05/2021,Semester 1,Completed
ENR11454,211972,ENG1010,LEC1096,09/10/2021,Semester 2,Completed
ENR11455,211973,MED1009,LEC1027,26/05/2021,Semester 1,Completed
ENR11457,211974,COM1007,LEC1003,15/01/2021,Semester 1,Dropped
ENR11459,211975,MED1002,LEC1022,20/07/2021,Semester 2,Completed
ENR11460,211976,AGR1009,LEC1111,09/06/2021,Semester 1,Completed
ENR11462,211977,AGR1003,LEC1108,17/02/2021,Semester 1,Dropped
ENR11464,211978,BUS1010,LEC1034,15/03/2021,Semester 1,Completed
ENR11466,211979,SCI1009,LEC1083,16/01/2021,Semester 1,Completed
ENR11468,211980,BUS1002,LEC1035,28/06/2021,Semester 1,Completed
ENR11470,211981,AGR1002,LEC1116,06/02/2021,Semester 1,Completed
ENR11472,211982,AGR1010,LEC1109,08/10/2021,Semester 2,Completed
ENR11473,211983,ART1010,LEC1062,24/06/2021,Semester 1,Completed
ENR11475,211984,ENG1010,LEC1102,01/05/2021,Semester 1,Completed
ENR11477,211985,AGR1006,LEC1115,26/08/2021,Semester 2,Completed
ENR11478,211986,SCI1007,LEC1078,07/06/2021,Semester 1,Dropped
ENR11479,211987,AGR1007,LEC1107,17/12/2021,Semester 2,Dropped
ENR11480,211988,ENG1004,LEC1101,05/12/2021,Semester 2,Completed
ENR11482,211989,ARC1005,LEC1123,20/08/2021,Semester 2,Completed
ENR11483,211990,AGR1009,LEC1115,17/08/2021,Semester 2,Completed
ENR11485,211991,SCI1006,LEC1087,26/06/2021,Semester 1,Completed
ENR11487,211992,LAW1008,LEC1046,09/07/2021,Semester 2,Completed
ENR11488,211993,SOC1001,LEC1144,03/07/2021,Semester 2,Completed
ENR11489,211994,COM1004,LEC1004,10/08/2021,Semester 2,Dropped
ENR11491,211995,ART1009,LEC1067,07/10/2021,Semester 2,Completed
ENR11493,211996,AGR1002,LEC1112,04/07/2021,Semester 2,Dropped
ENR11494,211997,LAW1007,LEC1059,10/12/2021,Semester 2,Completed
ENR11495,211998,COM1002,LEC1002,28/11/2021,Semester 2,Completed
ENR11496,211999,SOC1003,LEC1150,07/09/2021,Semester 2,Dropped
ENR11497,212000,MED1001,LEC1018,25/11/2021,Semester 2,Dropped
ENR11498,212001,ARC1010,LEC1130,06/08/2021,Semester 2,Completed
ENR11500,212002,ART1006,LEC1064,06/04/2021,Semester 1,Dropped
ENR11502,212003,SOC1002,LEC1144,18/05/2021,Semester 1,Dropped
ENR11503,212004,COM1005,LEC1001,18/10/2021,Semester 2,Dropped
ENR11505,212005,MED1009,LEC1027,27/09/2021,Semester 2,Completed
ENR11506,212006,ENG1007,LEC1092,25/09/2021,Semester 2,Completed
ENR11508,212007,AGR1009,LEC1106,25/06/2021,Semester 1,Completed
ENR11510,212008,SCI1004,LEC1081,31/05/2021,Semester 1,Completed
ENR11512,212009,COM1008,LEC1011,31/08/2021,Semester 2,Completed
ENR11514,212010,LAW1007,LEC1053,12/02/2021,Semester 1,Completed
ENR11515,212011,LAW1006,LEC1050,09/03/2021,Semester 1,Completed
ENR11516,212012,LAW1003,LEC1046,27/02/2021,Semester 1,Completed
ENR11518,212013,BUS1003,LEC1035,25/12/2021,Semester 2,Completed
ENR11520,212014,MED1001,LEC1018,01/11/2021,Semester 2,Completed
ENR11522,212015,ARC1005,LEC1128,23/11/2021,Semester 2,Completed
ENR11523,212016,AGR1004,LEC1117,26/06/2021,Semester 1,Completed
ENR11524,212017,SOC1007,LEC1149,01/03/2021,Semester 1,Completed
ENR11526,212018,ENG1001,LEC1102,30/09/2021,Semester 2,Completed
ENR11528,212019,LAW1004,LEC1048,29/09/2021,Semester 2,Dropped
ENR11530,212020,ENG1008,LEC1101,22/01/2021,Semester 1,Completed
ENR11532,212021,ART1003,LEC1065,17/05/2021,Semester 1,Completed
ENR11534,212022,SOC1009,LEC1146,04/05/2021,Semester 1,Completed
ENR11536,212023,AGR1001,LEC1106,11/12/2021,Semester 2,Completed
ENR11538,212024,ARC1008,LEC1128,29/06/2021,Semester 1,Completed
ENR11539,212025,LAW1003,LEC1049,18/01/2021,Semester 1,Completed
ENR11541,212026,SOC1001,LEC1137,14/02/2021,Semester 1,Completed
ENR11542,212027,ARC1005,LEC1133,28/11/2021,Semester 2,Completed
ENR11544,212028,SCI1010,LEC1086,08/02/2021,Semester 1,Dropped
ENR11546,212029,BUS1001,LEC1043,07/02/2021,Semester 1,Completed
ENR11548,212030,COM1008,LEC1005,16/05/2021,Semester 1,Completed
ENR11550,212031,BUS1003,LEC1041,09/09/2021,Semester 2,Completed
ENR11552,212032,SCI1007,LEC1087,13/05/2021,Semester 1,Completed
ENR11553,212033,COM1010,LEC1002,20/10/2021,Semester 2,Completed
ENR11554,212034,COM1003,LEC1015,12/09/2021,Semester 2,Completed
ENR11556,212035,LAW1005,LEC1048,25/12/2021,Semester 2,Completed
ENR11558,212036,SCI1006,LEC1082,05/02/2021,Semester 1,Completed
ENR11560,212037,AGR1003,LEC1114,03/07/2021,Semester 2,Completed
ENR11561,212038,SCI1002,LEC1076,20/11/2021,Semester 2,Completed
ENR11563,212039,SOC1008,LEC1148,29/05/2021,Semester 1,Completed
ENR11565,212040,LAW1009,LEC1057,19/07/2021,Semester 2,Completed
ENR11566,212041,ENG1003,LEC1092,20/11/2021,Semester 2,Dropped
ENR11568,212042,COM1004,LEC1012,31/10/2021,Semester 2,Completed
ENR11569,212043,ART1010,LEC1062,04/10/2021,Semester 2,Completed
ENR11571,212044,ART1004,LEC1061,22/06/2021,Semester 1,Completed
ENR11572,212045,MED1006,LEC1019,01/12/2021,Semester 2,Dropped
ENR11574,212046,COM1010,LEC1001,14/03/2021,Semester 1,Dropped
ENR11575,212047,ENG1001,LEC1105,13/11/2021,Semester 2,Completed
ENR11576,212048,ARC1010,LEC1131,08/03/2021,Semester 1,Completed
ENR11577,212049,ARC1001,LEC1121,07/06/2021,Semester 1,Completed
ENR11578,212050,AGR1009,LEC1108,30/10/2021,Semester 2,Completed
ENR11580,212051,BUS1006,LEC1037,22/06/2021,Semester 1,Dropped
ENR11581,212052,MED1006,LEC1026,22/10/2021,Semester 2,Completed
ENR11583,212053,ART1003,LEC1062,03/03/2021,Semester 1,Completed
ENR11584,212054,SOC1007,LEC1142,28/03/2021,Semester 1,Completed
ENR11585,212055,SCI1007,LEC1079,25/10/2021,Semester 2,Completed
ENR11586,212056,MED1003,LEC1028,20/11/2021,Semester 2,Dropped
ENR11587,212057,COM1003,LEC1015,07/09/2021,Semester 2,Completed
ENR11588,212058,COM1001,LEC1003,15/02/2021,Semester 1,Completed
ENR11589,212059,ARC1009,LEC1133,01/09/2021,Semester 2,Completed
ENR11591,212060,SCI1003,LEC1079,31/03/2021,Semester 1,Completed
ENR11593,212061,ART1005,LEC1067,03/01/2021,Semester 1,Completed
ENR11595,212062,SOC1008,LEC1144,17/09/2021,Semester 2,Completed
ENR11597,212063,COM1007,LEC1004,27/02/2021,Semester 1,Completed
ENR11599,212064,BUS1001,LEC1041,23/01/2021,Semester 1,Completed
ENR11600,212065,LAW1007,LEC1049,11/08/2021,Semester 2,Completed
ENR11602,212066,SOC1005,LEC1136,03/10/2021,Semester 2,Completed
ENR11603,212067,COM1004,LEC1008,21/09/2021,Semester 2,Completed
ENR11604,212068,LAW1001,LEC1057,16/08/2021,Semester 2,Completed
ENR11605,212069,BUS1006,LEC1042,13/12/2021,Semester 2,Completed
ENR11607,212070,MED1003,LEC1019,31/07/2021,Semester 2,Completed
ENR11608,212071,BUS1009,LEC1032,30/08/2021,Semester 2,Dropped
ENR11610,212072,AGR1009,LEC1113,02/04/2021,Semester 1,Dropped
ENR11611,212073,MED1008,LEC1023,10/04/2021,Semester 1,Completed
ENR11613,212074,ARC1009,LEC1130,31/01/2021,Semester 1,Completed
ENR11614,212075,MED1005,LEC1029,27/08/2021,Semester 2,Dropped
ENR11615,212076,BUS1002,LEC1043,25/06/2021,Semester 1,Completed
ENR11617,212077,MED1002,LEC1022,25/09/2021,Semester 2,Dropped
ENR11618,212078,AGR1006,LEC1113,25/08/2021,Semester 2,Completed
ENR11619,212079,SOC1004,LEC1142,07/05/2021,Semester 1,Completed
ENR11620,212080,SCI1006,LEC1085,24/04/2021,Semester 1,Completed
ENR11622,212081,COM1006,LEC1008,16/09/2021,Semester 2,Completed
ENR11623,212082,ENG1008,LEC1097,03/09/2021,Semester 2,Completed
ENR11625,212083,ARC1009,LEC1132,28/07/2021,Semester 2,Completed
ENR11626,212084,ART1006,LEC1065,03/05/2021,Semester 1,Completed
ENR11627,212085,ENG1002,LEC1101,06/06/2021,Semester 1,Completed
ENR11628,212086,AGR1004,LEC1117,26/10/2021,Semester 2,Completed
ENR11630,212087,ART1008,LEC1071,26/08/2021,Semester 2,Completed
ENR11631,212088,ART1010,LEC1075,20/12/2021,Semester 2,Completed
ENR11632,212089,LAW1008,LEC1052,19/05/2021,Semester 1,Completed
ENR11633,212090,AGR1010,LEC1120,21/06/2021,Semester 1,Completed
ENR11634,212091,COM1007,LEC1002,16/07/2021,Semester 2,Completed
ENR11636,212092,BUS1003,LEC1041,14/10/2021,Semester 2,Completed
ENR11638,212093,LAW1001,LEC1054,28/02/2021,Semester 1,Dropped
ENR11640,212094,ART1002,LEC1066,17/05/2021,Semester 1,Dropped
ENR11641,212095,COM1007,LEC1002,10/07/2021,Semester 2,Completed
ENR11643,212096,SOC1001,LEC1144,14/12/2021,Semester 2,Completed
ENR11645,212097,SCI1009,LEC1077,11/02/2021,Semester 1,Dropped
ENR11646,212098,LAW1007,LEC1047,25/02/2021,Semester 1,Completed
ENR11647,212099,MED1005,LEC1027,17/03/2021,Semester 1,Dropped
ENR11649,212100,SCI1004,LEC1086,05/10/2021,Semester 2,Completed
ENR11651,212101,LAW1008,LEC1049,02/02/2021,Semester 1,Completed
ENR11652,212102,ENG1007,LEC1101,21/06/2021,Semester 1,Dropped
ENR11653,212103,ARC1004,LEC1131,17/06/2021,Semester 1,Dropped
ENR11655,212104,LAW1009,LEC1055,09/03/2021,Semester 1,Completed
ENR11657,212105,ART1008,LEC1065,25/01/2021,Semester 1,Completed
ENR11659,212106,SOC1002,LEC1144,27/05/2021,Semester 1,Completed
ENR11660,212107,SOC1001,LEC1147,08/12/2021,Semester 2,Completed
ENR11661,212108,LAW1001,LEC1047,22/01/2021,Semester 1,Completed
ENR11662,212109,SCI1007,LEC1080,09/07/2021,Semester 2,Completed
ENR11663,212110,AGR1002,LEC1117,18/01/2021,Semester 1,Completed
ENR11664,212111,MED1009,LEC1021,18/08/2021,Semester 2,Completed
ENR11666,212112,ENG1004,LEC1103,16/03/2021,Semester 1,Dropped
ENR11668,212113,ENG1001,LEC1105,29/05/2021,Semester 1,Completed
ENR11670,212114,SOC1004,LEC1143,21/01/2021,Semester 1,Completed
ENR11671,212115,LAW1010,LEC1046,25/07/2021,Semester 2,Completed
ENR11672,212116,ART1006,LEC1062,17/06/2021,Semester 1,Completed
ENR11674,212117,BUS1006,LEC1031,12/02/2021,Semester 1,Dropped
ENR11676,212118,ENG1003,LEC1096,05/11/2021,Semester 2,Completed
ENR11677,212119,SCI1001,LEC1078,07/08/2021,Semester 2,Completed
ENR11679,212120,ART1005,LEC1065,17/08/2021,Semester 2,Completed
ENR11681,212121,LAW1007,LEC1048,06/08/2021,Semester 2,Dropped
ENR11683,212122,BUS1007,LEC1035,01/09/2021,Semester 2,Completed
ENR11684,212123,AGR1006,LEC1118,12/07/2021,Semester 2,Completed
ENR11685,212124,SCI1003,LEC1086,20/05/2021,Semester 1,Dropped
ENR11686,212125,AGR1002,LEC1113,30/12/2021,Semester 2,Completed
ENR11687,212126,BUS1004,LEC1044,15/07/2021,Semester 2,Completed
ENR11688,212127,COM1006,LEC1014,04/06/2021,Semester 1,Completed
ENR11690,212128,COM1001,LEC1003,15/05/2021,Semester 1,Completed
ENR11691,212129,MED1006,LEC1026,07/12/2021,Semester 2,Completed
ENR11693,212130,MED1006,LEC1028,22/05/2021,Semester 1,Dropped
ENR11694,212131,AGR1007,LEC1117,05/07/2021,Semester 2,Dropped
ENR11695,212132,LAW1004,LEC1056,18/12/2021,Semester 2,Dropped
ENR11697,212133,LAW1004,LEC1048,25/10/2021,Semester 2,Completed
ENR11698,212134,ART1001,LEC1068,21/12/2021,Semester 2,Completed
ENR11699,212135,BUS1001,LEC1031,20/05/2021,Semester 1,Completed
ENR11701,212136,LAW1008,LEC1054,24/11/2021,Semester 2,Completed
ENR11703,212137,AGR1007,LEC1118,27/03/2021,Semester 1,Completed
ENR11704,212138,ARC1008,LEC1133,04/06/2021,Semester 1,Completed
ENR11706,212139,ENG1009,LEC1100,30/06/2021,Semester 1,Completed
ENR11707,212140,MED1008,LEC1024,25/05/2021,Semester 1,Completed
ENR11708,212141,SCI1003,LEC1081,25/03/2021,Semester 1,Completed
ENR11710,212142,AGR1002,LEC1115,20/12/2021,Semester 2,Completed
ENR11711,212143,SCI1009,LEC1090,09/02/2021,Semester 1,Completed
ENR11713,212144,LAW1010,LEC1057,05/07/2021,Semester 2,Completed
ENR11715,212145,SOC1001,LEC1140,15/01/2021,Semester 1,Completed
ENR11716,212146,MED1007,LEC1029,22/12/2021,Semester 2,Completed
ENR11717,212147,LAW1010,LEC1048,18/04/2021,Semester 1,Completed
ENR11718,212148,SCI1005,LEC1087,27/02/2021,Semester 1,Completed
ENR11719,212149,SOC1010,LEC1143,09/08/2021,Semester 2,Completed
ENR11720,212150,MED1004,LEC1016,04/12/2021,Semester 2,Completed
ENR11721,212151,MED1006,LEC1030,10/05/2021,Semester 1,Completed
ENR11723,212152,MED1006,LEC1030,05/11/2021,Semester 2,Completed
ENR11724,212153,BUS1004,LEC1041,29/06/2021,Semester 1,Completed
ENR11725,212154,MED1009,LEC1029,23/05/2021,Semester 1,Completed
ENR11726,212155,BUS1001,LEC1044,14/09/2021,Semester 2,Completed
ENR11728,212156,ENG1008,LEC1094,09/04/2021,Semester 1,Completed
ENR11729,212157,SOC1007,LEC1144,03/01/2021,Semester 1,Completed
ENR11730,212158,ENG1005,LEC1104,29/12/2021,Semester 2,Dropped
ENR11731,212159,ARC1010,LEC1130,05/04/2021,Semester 1,Dropped
ENR11733,212160,SCI1005,LEC1079,21/09/2021,Semester 2,Completed
ENR11735,212161,MED1005,LEC1024,11/03/2021,Semester 1,Dropped
ENR11737,212162,MED1001,LEC1021,10/09/2021,Semester 2,Completed
ENR11738,212163,LAW1007,LEC1053,04/11/2021,Semester 2,Completed
ENR11740,212164,LAW1008,LEC1059,08/08/2021,Semester 2,Completed
ENR11742,212165,COM1002,LEC1011,09/09/2021,Semester 2,Completed
ENR11743,212166,SCI1007,LEC1084,04/12/2021,Semester 2,Completed
ENR11745,212167,SOC1005,LEC1150,28/03/2021,Semester 1,Completed
ENR11746,212168,BUS1006,LEC1036,13/04/2021,Semester 1,Dropped
ENR11748,212169,SOC1008,LEC1147,25/10/2021,Semester 2,Completed
ENR11750,212170,ENG1001,LEC1101,05/11/2021,Semester 2,Dropped
ENR11752,212171,MED1004,LEC1017,09/05/2021,Semester 1,Dropped
ENR11754,212172,MED1003,LEC1027,28/01/2021,Semester 1,Completed
ENR11755,212173,ARC1007,LEC1121,02/04/2021,Semester 1,Dropped
ENR11757,212174,AGR1010,LEC1115,19/02/2021,Semester 1,Completed
ENR11759,212175,BUS1006,LEC1035,05/12/2021,Semester 2,Dropped
ENR11761,212176,SOC1008,LEC1136,09/08/2021,Semester 2,Completed
ENR11762,212177,SCI1008,LEC1081,12/07/2021,Semester 2,Dropped
ENR11764,212178,SOC1001,LEC1138,09/09/2021,Semester 2,Dropped
ENR11766,212179,AGR1003,LEC1116,09/09/2021,Semester 2,Dropped
ENR11767,212180,AGR1002,LEC1119,22/03/2021,Semester 1,Completed
ENR11769,212181,SOC1009,LEC1140,14/06/2021,Semester 1,Completed
ENR11771,212182,ART1005,LEC1073,26/10/2021,Semester 2,Completed
ENR11773,212183,MED1003,LEC1022,26/06/2021,Semester 1,Completed
ENR11775,212184,LAW1001,LEC1056,09/06/2021,Semester 1,Completed
ENR11776,212185,LAW1010,LEC1047,22/06/2021,Semester 1,Completed
ENR11777,212186,ENG1009,LEC1096,20/01/2021,Semester 1,Dropped
ENR11778,212187,AGR1003,LEC1114,04/08/2021,Semester 2,Completed
ENR11780,212188,ART1009,LEC1070,19/07/2021,Semester 2,Completed
ENR11782,212189,ART1004,LEC1068,15/09/2021,Semester 2,Completed
ENR11783,212190,AGR1009,LEC1110,06/07/2021,Semester 2,Dropped
ENR11784,212191,ENG1004,LEC1101,08/02/2021,Semester 1,Completed
ENR11785,212192,LAW1004,LEC1046,02/06/2021,Semester 1,Dropped
ENR11787,212193,LAW1005,LEC1047,18/10/2021,Semester 2,Dropped
ENR11789,212194,ENG1005,LEC1103,03/06/2021,Semester 1,Dropped
ENR11791,212195,SCI1002,LEC1080,16/11/2021,Semester 2,Dropped
ENR11793,212196,ARC1001,LEC1132,22/09/2021,Semester 2,Completed
ENR11794,212197,BUS1008,LEC1041,28/08/2021,Semester 2,Completed
ENR11796,212198,ENG1007,LEC1094,06/07/2021,Semester 2,Dropped
ENR11797,212199,LAW1001,LEC1048,17/12/2021,Semester 2,Completed
ENR11798,212200,SCI1003,LEC1081,02/02/2021,Semester 1,Completed
ENR11800,212201,ARC1008,LEC1130,01/05/2021,Semester 1,Dropped
ENR11802,212202,LAW1002,LEC1058,08/06/2021,Semester 1,Dropped
ENR11803,212203,AGR1002,LEC1112,05/08/2021,Semester 2,Completed
ENR11805,212204,LAW1004,LEC1058,23/05/2021,Semester 1,Completed
ENR11806,212205,SOC1003,LEC1143,11/01/2021,Semester 1,Completed
ENR11807,212206,ART1001,LEC1070,02/06/2021,Semester 1,Completed
ENR11808,212207,ART1007,LEC1071,03/12/2021,Semester 2,Completed
ENR11810,212208,AGR1004,LEC1117,14/09/2021,Semester 2,Completed
ENR11811,212209,ENG1004,LEC1105,16/02/2021,Semester 1,Completed
ENR11813,212210,SOC1006,LEC1147,01/05/2021,Semester 1,Dropped
ENR11815,212211,LAW1006,LEC1053,29/07/2021,Semester 2,Completed
ENR11816,212212,ENG1003,LEC1099,11/07/2021,Semester 2,Completed
ENR11817,212213,ENG1010,LEC1097,01/09/2021,Semester 2,Completed
ENR11819,212214,SOC1002,LEC1141,07/06/2021,Semester 1,Completed
ENR11821,212215,ARC1009,LEC1135,10/12/2021,Semester 2,Completed
ENR11822,212216,AGR1001,LEC1112,08/06/2021,Semester 1,Completed
ENR11824,212217,ART1010,LEC1061,21/07/2021,Semester 2,Completed
ENR11826,212218,BUS1001,LEC1045,13/08/2021,Semester 2,Completed
ENR11827,212219,COM1005,LEC1005,11/02/2021,Semester 1,Dropped
ENR11829,212220,MED1003,LEC1029,24/03/2021,Semester 1,Completed
ENR11831,212221,SCI1009,LEC1087,15/01/2021,Semester 1,Completed
